2321060013,2515,1235,"2020-06-05 10:14:29","2020-06-06 21:26:36","06/01 16:35:31","06/05 10:14:29","06/01 16:35:31","06/05 09:41:30"
2321070019,189,570,"2020-06-05 11:05:31","2020-06-06 21:26:36","06/01 16:35:31","06/05 10:44:31","06/05 08:44:30","06/05 11:05:31"
2322010017,4324,1207,"2020-06-05 16:44:29","2020-06-06 21:26:36","06/01 16:35:31","06/05 16:44:29","06/01 16:35:31","06/05 16:44:29"
2322020013,2916,660,"2020-06-05 16:23:31","2020-06-06 21:26:36","06/01 16:35:31","06/05 16:23:31","06/01 16:35:31","06/05 14:53:31"
2331070012,690,917,"2020-06-05 11:29:29","2020-06-06 21:26:36","06/03 00:29:57","06/05 11:29:29","06/03 00:29:57","06/05 09:44:30"
2331080018,4478,174,"2020-06-05 11:20:32","2020-06-06 21:26:36","06/01 16:35:31","06/05 11:20:32","06/05 08:38:30","06/05 11:11:33"
2331090014,2295,977,"2020-06-05 16:38:32","2020-06-06 21:26:36","06/01 16:35:31","06/05 16:38:32","06/01 16:35:31","06/05 13:44:31"
2331100015,4710,699,"2020-06-05 13:20:29","2020-06-06 21:26:36","06/01 16:35:31","06/05 13:20:29","06/01 16:35:31","06/03 13:35:57"
2331120017,3341,1075,"2020-06-05 11:44:33","2020-06-06 21:26:36","06/04 08:02:58","06/05 11:44:33","06/03 08:11:52","06/05 10:23:29"
2331150015,2763,1200,"2020-06-05 10:59:29","2020-06-06 21:26:36","06/05 00:29:32","06/05 10:59:29","06/05 00:29:32","06/04 10:23:57"
2331160011,4083,488,"2020-06-05 15:59:29","2020-06-06 21:26:36","06/01 16:35:31","06/05 15:59:29","06/01 16:35:31","06/05 13:38:31"
2331170017,3931,397,"2020-06-05 17:23:31","2020-06-06 21:26:36","06/04 12:08:54","06/05 17:23:31","06/05 17:23:31","06/05 09:47:30"
2331180013,2925,682,"2020-06-05 11:56:31","2020-06-06 21:26:36","06/05 08:32:34","06/05 11:56:31","06/05 08:32:34","06/05 10:38:31"
2331190019,3607,794,"2020-06-05 11:53:32","2020-06-06 21:26:36","06/05 09:02:35","06/05 11:53:32","06/05 09:02:35","06/05 10:59:29"
2331200010,642,743,"2020-06-05 09:53:32","2020-06-06 21:26:36","06/01 16:35:31","06/05 09:53:32","06/01 16:35:31","06/05 09:32:36"
2331210016,3510,620,"2020-06-05 15:47:31","2020-06-06 21:26:36","06/05 11:32:34","06/05 15:47:31","06/01 16:35:31","06/05 15:02:33"
2331220012,3105,600,"2020-06-05 11:59:32","2020-06-06 21:26:36","06/01 16:35:31","06/05 11:59:32","06/01 16:35:31","06/05 11:05:31"
2331230018,3447,1295,"2020-06-05 15:44:31","2020-06-06 21:26:36","06/05 12:47:30","06/05 15:44:31","06/03 12:59:55","06/05 14:08:32"
2331240014,2214,740,"2020-06-05 12:08:33","2020-06-06 21:26:36","06/04 08:02:58","06/05 12:08:33","06/05 08:11:29","06/05 10:41:31"
2331250010,2128,1405,"2020-06-05 11:35:33","2020-06-06 21:26:36","06/01 16:35:31","06/05 11:35:33","06/01 16:35:31","06/05 10:02:34"
2331260016,3312,1141,"2020-06-05 11:38:32","2020-06-06 21:26:36","06/01 16:35:31","06/05 11:38:32","06/03 08:05:55","06/05 09:23:29"
2331270012,4780,800,"2020-06-05 11:17:30","2020-06-06 21:26:36","06/01 16:35:31","06/05 11:17:30","06/01 16:35:31","06/05 10:47:30"
2331280018,1269,674,"2020-06-05 11:56:31","2020-06-06 21:26:36","06/05 09:02:35","06/05 11:56:31","06/05 09:02:35","06/05 09:08:31"
2331290014,2659,1067,"2020-06-05 11:47:31","2020-06-06 21:26:36","06/05 10:11:32","06/05 11:47:31","06/05 10:11:32","06/05 11:44:33"
2332030012,1857,555,"2020-06-05 15:59:29","2020-06-06 21:26:36","06/01 16:35:31","06/05 15:59:29","06/05 13:56:29","06/05 14:05:29"
2332040018,3699,980,"2020-06-05 13:47:29","2020-06-06 21:26:36","06/01 16:35:31","06/05 13:47:29","06/01 16:35:31","06/05 12:38:31"
2332060010,4653,640,"2020-06-05 15:32:33","2020-06-06 21:26:36","06/01 16:35:31","06/05 15:32:33","06/01 16:35:31","06/05 14:50:30"
2332080012,1461,726,"2020-06-05 12:26:29","2020-06-06 21:26:36","06/01 16:35:31","06/05 12:26:29","06/05 10:59:29","06/05 11:50:29"
2332090018,4108,1909,"2020-06-05 13:38:31","2020-06-06 21:26:36","06/01 16:35:31","06/05 13:38:31","06/05 11:53:32","06/05 12:02:34"
2332100019,4707,1680,"2020-06-05 13:47:29","2020-06-06 21:26:36","06/01 16:35:31","06/05 13:47:29","06/05 11:29:29","06/05 13:35:31"
2332110015,1870,255,"2020-06-05 15:11:33","2020-06-06 21:26:36","06/01 16:35:31","06/05 15:11:33","06/01 16:35:31","06/05 14:59:29"
2332120011,1818,1373,"2020-06-05 14:02:33","2020-06-06 21:26:36","06/01 16:35:31","06/05 14:02:33","06/01 16:35:31","06/05 12:08:33"
2332130017,2966,405,"2020-06-06 10:17:34","2020-06-06 21:26:36","06/03 08:47:55","06/06 10:17:34","06/05 09:23:29","06/05 12:02:34"
2333010014,5391,1330,"2020-06-05 12:50:29","2020-06-06 21:26:36","06/01 16:35:31","06/05 12:20:29","06/01 16:35:31","06/05 12:50:29"
2333020010,1809,210,"2020-06-05 15:20:31","2020-06-06 21:26:36","06/01 16:35:31","06/05 15:20:31","06/05 13:50:29","06/05 14:44:30"
2333030016,1035,660,"2020-06-05 11:23:30","2020-06-06 21:26:36","06/04 00:29:56","06/05 11:23:30","06/04 00:29:56","06/05 11:23:30"
2333050018,2574,1670,"2020-06-05 15:38:31","2020-06-06 21:26:36","06/01 16:35:31","06/05 15:38:31","06/03 08:05:55","06/05 13:41:31"
2333060014,4080,960,"2020-06-05 16:02:34","2020-06-06 21:26:36","06/05 13:53:31","06/05 16:02:34","06/01 16:35:31","06/05 14:59:29"
